Temp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Millis
27.12,0.14648,-0.05762,1.99463,-1.28174,-1.55640,-0.30518,5835
27.20,0.14648,-0.05762,1.99463,-0.36621,-0.82397,-0.24414,5840
27.20,0.14648,-0.05762,1.99463,0.15259,-0.30518,-0.15259,5844
27.21,0.14648,-0.05762,1.99463,0.15259,-0.27466,-0.03052,5849
27.21,0.14648,-0.05762,1.99463,0.06104,-0.39673,-0.06104,5854
27.23,0.14648,-0.05762,1.99463,0.06104,-0.33569,-0.03052,5859
27.23,0.14648,-0.05762,1.99463,0.03052,-0.21362,-0.06104,5865
27.24,0.14648,-0.05762,1.99463,0.06104,-0.33569,-0.06104,5870
27.24,0.14648,-0.05762,1.99463,0.06104,-0.33569,-0.06104,5876
27.24,0.14648,-0.05762,1.99463,0.00000,-0.30518,-0.12207,5881
27.24,0.14648,-0.05762,1.99463,0.09155,-0.33569,-0.15259,5887
27.24,0.14648,-0.05762,1.99463,0.03052,-0.27466,-0.09155,5892
27.24,0.14648,-0.05762,1.99463,0.06104,-0.24414,0.00000,5898
27.24,0.14648,-0.05762,1.99463,0.09155,-0.30518,-0.06104,5903
27.27,0.14648,-0.05762,1.99463,0.03052,-0.21362,-0.15259,5909
27.27,0.06396,-0.03027,0.98438,-0.06104,-0.27466,-0.06104,5914
27.23,0.06396,-0.03027,0.99463,0.09155,-0.30518,-0.06104,5920
27.23,0.06396,-0.03027,0.99463,0.09155,-0.21362,-0.15259,5925
27.27,0.06494,-0.03027,1.00293,0.03052,-0.33569,0.00000,5931
27.27,0.06494,-0.03027,1.00293,0.00000,-0.30518,-0.15259,5936
27.24,0.06543,-0.03027,1.00488,0.06104,-0.21362,-0.18311,5941
27.24,0.06543,-0.03027,1.00488,0.00000,-0.27466,-0.06104,5947
27.25,0.06543,-0.03125,1.00439,0.15259,-0.27466,0.03052,5952
27.24,0.06543,-0.03125,1.00439,0.03052,-0.33569,-0.12207,5958
27.24,0.06445,-0.03125,1.00293,0.06104,-0.36621,-0.06104,5963
27.24,0.06445,-0.03125,1.00293,0.15259,-0.18311,-0.03052,5969
27.24,0.06299,-0.03027,1.00195,0.03052,-0.27466,-0.15259,5974
27.21,0.06299,-0.02930,1.00000,0.06104,-0.33569,-0.09155,5980
27.21,0.06299,-0.02930,1.00000,0.12207,-0.33569,0.00000,5985
27.27,0.06396,-0.02881,0.99805,0.15259,-0.33569,-0.09155,5990
27.27,0.06396,-0.02881,0.99805,0.09155,-0.36621,-0.12207,5996
27.25,0.06445,-0.02881,0.99805,0.09155,-0.27466,-0.03052,6001
27.25,0.06445,-0.02881,0.99805,0.09155,-0.30518,-0.06104,6007
27.28,0.06494,-0.02930,0.99854,0.00000,-0.30518,-0.09155,6012
27.26,0.06494,-0.02930,0.99854,0.12207,-0.30518,-0.09155,6018
27.26,0.06494,-0.02979,0.99951,0.15259,-0.36621,-0.09155,6023
27.27,0.06543,-0.03027,1.00049,0.03052,-0.27466,-0.03052,6029
27.27,0.06543,-0.03027,1.00049,0.06104,-0.33569,-0.03052,6034
27.26,0.06543,-0.03027,1.00195,0.00000,-0.33569,0.00000,6040
27.26,0.06543,-0.03027,1.00195,0.06104,-0.27466,-0.03052,6045
27.26,0.06543,-0.03076,1.00342,0.06104,-0.36621,-0.12207,6050
27.26,0.06543,-0.03076,1.00342,0.12207,-0.33569,-0.15259,6056
27.24,0.06543,-0.03076,1.00391,0.03052,-0.21362,0.03052,6061
27.24,0.06543,-0.03076,1.00391,-0.03052,-0.24414,-0.03052,6067
27.25,0.06592,-0.03076,1.00391,-0.03052,-0.36621,-0.15259,6072
27.24,0.06592,-0.03076,1.00391,0.09155,-0.42725,0.03052,6078
27.24,0.06641,-0.03076,1.00244,0.12207,-0.27466,-0.06104,6083
27.25,0.06592,-0.03076,1.00000,0.03052,-0.18311,-0.06104,6089
27.25,0.06592,-0.03076,1.00000,0.06104,-0.24414,0.09155,6094
27.28,0.06494,-0.03027,0.99854,0.06104,-0.27466,-0.15259,6100
27.28,0.06494,-0.03027,0.99854,0.15259,-0.30518,-0.06104,6105
27.25,0.06445,-0.03027,0.99854,0.03052,-0.33569,-0.03052,6110
27.25,0.06445,-0.03027,0.99854,0.03052,-0.33569,-0.09155,6116
27.25,0.06494,-0.03076,0.99805,0.00000,-0.36621,-0.09155,6121
27.26,0.06494,-0.03076,0.99805,0.03052,-0.18311,0.00000,6127
27.26,0.06543,-0.03076,0.99854,0.03052,-0.21362,-0.03052,6132
27.27,0.06543,-0.03076,0.99854,0.06104,-0.21362,-0.12207,6138
27.27,0.06592,-0.03076,1.00000,0.12207,-0.27466,-0.09155,6143
27.26,0.06641,-0.03125,1.00195,0.15259,-0.18311,-0.09155,6149
27.26,0.06641,-0.03125,1.00195,0.15259,-0.36621,-0.09155,6154
27.25,0.06592,-0.03125,1.00244,0.00000,-0.18311,-0.12207,6160
27.25,0.06592,-0.03125,1.00244,0.03052,-0.21362,-0.12207,6165
27.25,0.06494,-0.03076,1.00293,0.06104,-0.30518,-0.03052,6170
27.25,0.06494,-0.03076,1.00293,0.09155,-0.36621,-0.06104,6176
27.27,0.06445,-0.03125,1.00244,0.18311,-0.27466,-0.03052,6181
27.31,0.06445,-0.03125,1.00244,0.03052,-0.30518,-0.06104,6187
27.31,0.06494,-0.03174,1.00195,0.06104,-0.33569,-0.09155,6192
