Temp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Millis
27.16,0.19238,-0.05469,1.99023,-1.28174,-1.49536,-0.51880,10162
27.18,0.19238,-0.05469,1.99023,-0.33569,-0.64087,-0.18311,10167
27.18,0.19238,-0.05469,1.99023,0.21362,-0.18311,0.03052,10172
27.15,0.19238,-0.05469,1.99023,0.06104,-0.21362,0.03052,10177
27.15,0.19238,-0.05469,1.99023,-0.03052,-0.18311,0.00000,10182
27.21,0.19238,-0.05469,1.99023,0.00000,-0.30518,0.03052,10187
27.21,0.19238,-0.05469,1.99023,-0.03052,-0.33569,-0.12207,10193
27.23,0.19238,-0.05469,1.99023,0.06104,-0.30518,-0.18311,10198
27.23,0.19238,-0.05469,1.99023,0.12207,-0.36621,-0.09155,10204
27.22,0.19238,-0.05469,1.99023,0.03052,-0.45776,-0.03052,10210
27.22,0.19238,-0.05469,1.99023,0.00000,-0.39673,-0.15259,10215
27.18,0.19238,-0.05469,1.99023,0.00000,-0.33569,-0.12207,10221
27.24,0.19238,-0.05469,1.99023,0.00000,-0.30518,-0.09155,10226
27.24,0.19238,-0.05469,1.99023,0.00000,-0.21362,0.09155,10232
27.21,0.08594,-0.02832,0.98291,-0.03052,-0.21362,-0.09155,10237
27.21,0.08594,-0.02832,0.98291,0.03052,-0.24414,-0.09155,10243
27.22,0.08643,-0.02783,0.99268,-0.06104,-0.24414,-0.03052,10248
27.22,0.08643,-0.02783,0.99268,0.03052,-0.24414,-0.15259,10254
27.23,0.08691,-0.02734,1.00098,0.00000,-0.27466,-0.12207,10260
27.21,0.08691,-0.02734,1.00098,0.03052,-0.27466,-0.06104,10265
27.21,0.08691,-0.02832,1.00244,0.00000,-0.33569,0.03052,10271
27.22,0.08691,-0.02832,1.00244,0.00000,-0.24414,-0.06104,10276
27.22,0.08691,-0.02930,1.00000,0.06104,-0.09155,-0.03052,10282
27.22,0.08740,-0.02979,0.99854,0.00000,-0.15259,-0.03052,10287
27.22,0.08740,-0.02979,0.99854,0.03052,-0.27466,-0.06104,10293
27.21,0.08740,-0.02832,0.99854,0.12207,-0.15259,0.00000,10298
27.21,0.08740,-0.02832,0.99854,0.06104,-0.21362,0.00000,10304
27.21,0.08740,-0.02734,0.99902,0.03052,-0.30518,-0.06104,10309
27.23,0.08740,-0.02734,0.99902,0.00000,-0.21362,-0.09155,10315
27.23,0.08691,-0.02734,0.99951,0.00000,-0.27466,-0.03052,10320
27.24,0.08691,-0.02734,0.99951,0.03052,-0.33569,-0.06104,10326
27.24,0.08643,-0.02783,0.99902,-0.03052,-0.33569,-0.12207,10332
27.23,0.08691,-0.02832,0.99902,-0.03052,-0.27466,-0.06104,10337
27.23,0.08691,-0.02832,0.99902,0.03052,-0.21362,-0.03052,10343
27.22,0.08789,-0.02881,0.99902,-0.06104,-0.27466,-0.06104,10348
27.22,0.08789,-0.02881,0.99902,-0.09155,-0.27466,0.03052,10354
27.21,0.08740,-0.02881,0.99854,0.06104,-0.30518,-0.03052,10360
27.21,0.08740,-0.02881,0.99854,0.12207,-0.18311,-0.15259,10365
27.21,0.08740,-0.02832,0.99805,0.00000,-0.18311,-0.09155,10371
27.20,0.08740,-0.02783,0.99805,0.06104,-0.24414,-0.06104,10376
27.20,0.08740,-0.02783,0.99805,0.15259,-0.33569,-0.03052,10382
27.22,0.08691,-0.02832,0.99805,0.12207,-0.21362,0.00000,10387
27.22,0.08691,-0.02832,0.99805,0.15259,-0.24414,-0.12207,10393
27.24,0.08643,-0.02930,0.99951,0.12207,-0.27466,-0.06104,10398
27.24,0.08643,-0.02930,0.99951,0.12207,-0.21362,-0.06104,10404
27.22,0.08594,-0.02930,1.00049,0.18311,-0.27466,-0.09155,10409
27.24,0.08594,-0.02930,1.00049,0.06104,-0.33569,-0.12207,10415
27.24,0.08643,-0.02881,1.00049,0.03052,-0.21362,-0.12207,10421
27.25,0.08643,-0.02832,1.00000,0.06104,-0.24414,0.03052,10426
27.25,0.08643,-0.02832,1.00000,0.06104,-0.36621,0.00000,10432
27.26,0.08643,-0.02832,0.99902,0.00000,-0.30518,-0.03052,10437
27.26,0.08643,-0.02832,0.99902,0.00000,-0.30518,0.03052,10443
27.26,0.08545,-0.02832,0.99854,0.03052,-0.27466,-0.09155,10448
27.26,0.08545,-0.02832,0.99854,0.03052,-0.27466,0.06104,10454
27.23,0.08545,-0.02832,0.99902,0.00000,-0.21362,0.00000,10459
27.25,0.08545,-0.02832,0.99902,0.09155,-0.27466,0.03052,10465
27.25,0.08643,-0.02881,0.99951,0.12207,-0.27466,0.00000,10470
27.24,0.08643,-0.02881,0.99951,0.06104,-0.27466,0.03052,10475
27.24,0.08740,-0.02930,1.00000,0.06104,-0.36621,-0.09155,10481
27.26,0.08643,-0.02881,1.00049,0.12207,-0.33569,0.00000,10486
27.26,0.08643,-0.02881,1.00049,0.12207,-0.36621,0.03052,10492
27.26,0.08594,-0.02832,1.00000,0.09155,-0.30518,-0.06104,10497
27.26,0.08594,-0.02832,1.00000,0.03052,-0.30518,-0.06104,10503
27.22,0.08594,-0.02881,0.99951,0.12207,-0.24414,0.03052,10508
27.29,0.08594,-0.02881,0.99951,0.09155,-0.24414,0.03052,10514
27.29,0.08594,-0.02832,0.99902,0.12207,-0.27466,-0.06104,10519
27.28,0.08594,-0.02832,0.99902,0.00000,-0.24414,-0.03052,10525
27.28,0.08594,-0.02832,0.99902,0.12207,-0.27466,-0.06104,10531
27.26,0.08594,-0.02783,0.99902,0.09155,-0.30518,-0.09155,10536
27.26,0.08594,-0.02783,0.99902,0.03052,-0.21362,-0.03052,10542
27.24,0.08594,-0.02783,0.99951,-0.03052,-0.18311,-0.12207,10547
27.24,0.08594,-0.02783,0.99951,0.06104,-0.27466,-0.12207,10553
27.25,0.08691,-0.02832,1.00000,0.06104,-0.24414,0.00000,10558
27.29,0.08691,-0.02832,1.00000,0.12207,-0.27466,-0.06104,10564
27.29,0.08691,-0.02832,0.99951,0.09155,-0.24414,-0.06104,10569
27.27,0.08691,-0.02832,0.99951,0.03052,-0.15259,0.00000,10575
27.27,0.08643,-0.02832,0.99854,0.09155,-0.30518,0.00000,10580
27.27,0.08643,-0.02832,0.99854,0.12207,-0.27466,-0.06104,10586
27.27,0.08643,-0.02832,0.99854,0.12207,-0.09155,-0.06104,10591
27.29,0.08691,-0.02832,0.99854,0.03052,-0.24414,-0.09155,10597
